School	Conf	IsP5	W	L	W/L%	Seed	FG%	2P%	3P%	FT%	FGA/G	3PA/G	FTA/G	ORB/G	DRB/G	TRB/G	AST/G	STL/G	BLK/G	TOV/G	PF/G	PTS/G	2PTA%	3PTA%	ORB%	SHOTS/G	AST/TO%	FG Rank	FGA Rank	FG% Rank	2P Rank	2PA Rank	2P% Rank	3P Rank	3PA Rank	3P% Rank	FT Rank	FTA Rank	FT% Rank	ORB Rank	DRB Rank	TRB Rank	AST Rank	STL Rank	BLK Rank	TOV Rank	PF Rank	PTS Rank	PTS/G Rank	OPP FG%	OPP 2P%	OPP 3P%	OPP FT%	OPP FGA/G	OPP 3PA/G	OPP FTA/G	OPP ORB/G	OPP DRB/G	OPP TRB/G	OPP AST/G	OPP STL/G	OPP BLK/G	OPP TOV/G	OPP PF/G	OPP PTS/G	OPP 2PTA%	OPP 3PTA%	OPP ORB%	OPP SHOTS/G	OPP AST/TO%	OPP FG Rank	OPP FGA Rank	OPP FG% Rank	OPP 2P Rank	OPP 2PA Rank	OPP 2P% Rank	OPP 3P Rank	OPP 3PA Rank	OPP 3P% Rank	OPP FT Rank	OPP FTA Rank	OPP FT% Rank	OPP ORB Rank	OPP DRB Rank	OPP TRB Rank	OPP AST Rank	OPP STL Rank	OPP BLK Rank	OPP TOV Rank	OPP PF Rank	OPP PTS Rank	OPP PTS/G Rank	DIFF FG%	DIFF 2P%	DIFF 3P%	DIFF FT%	DIFF FGA/G	DIFF 3PA/G	DIFF FTA/G	DIFF ORB/G	DIFF DRB/G	DIFF TRB/G	DIFF AST/G	DIFF STL/G	DIFF BLK/G	DIFF TOV/G	DIFF PF/G	DIFF PTS/G	DIFF 2PTA%	DIFF 3PTA%	DIFF ORB%	DIFF SHOTS/G	DIFF AST/TO%	DIFF FG Rank	DIFF FGA Rank	DIFF FG% Rank	DIFF 2P Rank	DIFF 2PA Rank	DIFF 2P% Rank	DIFF 3P Rank	DIFF 3PA Rank	DIFF 3P% Rank	DIFF FT Rank	DIFF FTA Rank	DIFF FT% Rank	DIFF ORB Rank	DIFF DRB Rank	DIFF TRB Rank	DIFF AST Rank	DIFF STL Rank	DIFF BLK Rank	DIFF TOV Rank	DIFF PF Rank	DIFF PTS Rank	DIFF PTS/G Rank	SRS	SRS Rank	SOS	SOS Rank	ORtg	ORtg Rank	DRtg	DRtg Rank	Height (in.)	Years Exp
18 Virginia	ACC	1	31	2	0.939	1	0.460	0.501	0.460	0.754	54.235	18.971	13.265	8.294	24.029	32.324	13.471	6.824	3.647	8.529	14.118	67.100	0.650	0.350	0.257	54.235	1.579	0.507	0.652	0.311	0.501	0.496	0.521	0.513	0.726	0.117	0.949	0.986	0.131	0.801	0.541	0.681	0.425	0.225	0.322	0.003	0.014	0.678	0.895	0.380	0.428	0.380	0.732	50.088	20.412	13.147	8.235	22.588	30.824	9.059	3.824	2.559	12.706	15.000	54.000	0.592	0.408	0.267	50.088	0.713	0.003	0.085	0.009	0.009	0.071	0.011	0.131	0.368	0.028	0.017	0.009	0.812	0.137	0.245	0.160	0.009	0.006	0.137	0.467	0.915	0.003	0.003	0.080	0.073	0.080	0.022	4.147	-1.441	0.118	0.059	1.441	1.500	4.412	3.000	1.088	-4.176	-0.882	13.100	0.058	-0.058	-0.011	4.147	0.866	0.504	0.567	0.302	0.493	0.425	0.510	0.382	0.359	0.088	0.932	0.977	-0.681	0.664	0.296	0.521	0.416	0.219	0.185	-0.464	-0.900	0.675	0.892	22.21	0.014	9.06	0.097	110.4	0.165	88.8	0.006	78	1.7
18 Villanova	Big East	0	30	4	0.882	2	0.500	0.590	0.500	0.779	61.000	28.950	17.950	9.625	26.275	35.900	16.375	6.475	4.050	10.650	16.125	86.600	0.525	0.475	0.268	61.000	1.538	0.003	0.003	0.014	0.046	0.274	0.011	0.003	0.006	0.037	0.091	0.208	0.028	0.217	0.011	0.023	0.009	0.080	0.088	0.519	0.778	0.003	0.003	0.428	0.490	0.428	0.747	60.025	21.450	16.025	9.450	23.200	32.650	13.300	4.825	2.625	12.800	17.450	70.200	0.643	0.357	0.289	60.025	1.039	0.986	0.997	0.305	0.986	0.986	0.430	0.755	0.946	0.060	0.687	0.581	0.952	0.858	0.934	0.932	0.954	0.393	0.422	0.088	0.068	0.986	0.325	0.072	0.100	0.072	0.032	0.975	7.500	1.925	0.175	3.075	3.250	3.075	1.650	1.425	-2.150	-1.325	16.400	-0.117	0.117	-0.021	0.975	0.498	-0.983	-0.994	-0.291	-0.940	-0.712	-0.419	-0.752	-0.940	-0.023	-0.595	-0.373	-0.923	-0.641	-0.923	-0.909	-0.946	-0.313	-0.333	0.430	0.709	-0.983	-0.322	26.64	0.003	10.24	0.028	122.3	0.003	99.2	0.202	78	1.6
18 Kansas	Big 12	1	27	7	0.794	3	0.492	0.556	0.492	0.708	60.667	24.974	16.410	9.769	25.821	35.590	16.641	6.513	4.103	11.692	15.308	81.400	0.588	0.412	0.274	60.667	1.423	0.006	0.011	0.034	0.023	0.094	0.068	0.006	0.031	0.031	0.521	0.519	0.558	0.231	0.040	0.046	0.011	0.105	0.091	0.761	0.567	0.006	0.083	0.426	0.486	0.426	0.713	62.026	24.282	15.256	11.615	23.538	35.154	12.821	5.538	3.538	12.846	16.821	71.900	0.609	0.391	0.330	62.026	0.998	0.989	1.000	0.274	0.963	0.969	0.393	0.980	0.997	0.262	0.376	0.385	0.530	0.997	0.920	0.986	0.869	0.775	0.909	0.117	0.225	0.983	0.456	0.066	0.070	0.066	-0.005	-1.359	0.692	1.154	-1.846	2.282	0.436	3.821	0.974	0.564	-1.154	-1.513	9.500	-0.020	0.020	-0.056	-1.359	0.425	-0.983	-0.989	-0.239	-0.940	-0.875	-0.325	-0.974	-0.966	-0.231	0.145	0.134	0.028	-0.766	-0.880	-0.940	-0.858	-0.670	-0.818	0.644	0.342	-0.977	-0.373	21.39	0.017	11.87	0.003	115.5	0.034	102.0	0.436	78	1.8
18 Xavier	Big East	0	28	5	0.848	4	0.492	0.559	0.492	0.779	58.714	21.029	24.086	9.857	28.486	38.343	16.543	5.857	3.114	12.600	17.200	84.400	0.642	0.358	0.257	58.714	1.313	0.063	0.194	0.040	0.060	0.214	0.054	0.322	0.416	0.199	0.003	0.020	0.023	0.425	0.046	0.088	0.048	0.493	0.484	0.635	0.587	0.043	0.023	0.431	0.498	0.431	0.760	62.629	25.771	16.057	8.457	22.829	31.286	14.057	6.800	3.629	11.429	20.886	74.700	0.589	0.411	0.270	62.629	1.230	0.903	0.940	0.342	0.781	0.801	0.521	0.932	0.977	0.276	0.402	0.234	0.991	0.245	0.399	0.322	0.852	0.929	0.818	0.701	0.023	0.900	0.681	0.061	0.061	0.061	0.019	-3.914	-4.743	8.029	1.400	5.657	7.057	2.486	-0.943	-0.514	1.171	-3.686	9.700	0.053	-0.053	-0.013	-3.914	0.083	-0.840	-0.746	-0.302	-0.721	-0.587	-0.467	-0.610	-0.561	-0.077	-0.399	-0.214	-0.969	0.179	-0.353	-0.234	-0.803	-0.436	-0.333	-0.066	0.564	-0.858	-0.658	19.08	0.031	9.45	0.068	115.5	0.040	102.3	0.476	78	1.8
18 North Carolina	ACC	1	25	10	0.714	5	0.457	0.510	0.457	0.743	65.324	22.946	18.297	13.811	28.622	42.432	18.216	5.757	4.081	12.027	15.865	81.600	0.649	0.351	0.325	65.324	1.515	0.014	0.006	0.350	0.011	0.009	0.436	0.140	0.140	0.330	0.279	0.362	0.179	0.006	0.009	0.003	0.003	0.399	0.120	0.678	0.513	0.026	0.080	0.423	0.453	0.423	0.687	62.081	25.405	16.135	9.784	23.081	32.865	14.622	6.162	4.757	11.703	17.757	73.300	0.591	0.409	0.298	62.081	1.249	0.963	0.980	0.214	0.655	0.886	0.060	1.000	0.994	0.915	0.285	0.393	0.114	0.789	0.684	0.749	0.972	0.875	1.000	0.456	0.214	0.957	0.564	0.034	0.057	0.034	0.056	3.243	-2.459	2.162	4.027	5.541	9.568	3.595	-0.405	-0.676	0.324	-1.892	8.300	0.058	-0.058	0.028	3.243	0.265	-0.949	-0.974	0.137	-0.644	-0.877	0.376	-0.860	-0.855	-0.584	-0.006	-0.031	0.066	-0.783	-0.675	-0.746	-0.969	-0.476	-0.880	0.222	0.299	-0.932	-0.484	20.08	0.023	11.78	0.006	113.4	0.063	101.8	0.413	78	1.9
18 Duke	ACC	1	26	7	0.788	6	0.492	0.560	0.492	0.710	61.838	22.459	21.378	13.405	27.649	41.054	17.514	7.432	5.000	12.432	15.514	84.400	0.637	0.363	0.327	61.838	1.409	0.009	0.031	0.043	0.006	0.026	0.046	0.125	0.168	0.208	0.085	0.077	0.524	0.009	0.023	0.006	0.014	0.037	0.040	0.789	0.422	0.009	0.026	0.405	0.454	0.405	0.728	63.892	23.541	14.216	11.676	21.189	32.865	14.514	5.676	2.622	12.243	18.135	69.600	0.632	0.368	0.355	63.892	1.185	0.934	0.991	0.048	0.900	0.977	0.071	0.809	0.963	0.080	0.140	0.097	0.781	0.977	0.322	0.749	0.960	0.687	0.291	0.328	0.157	0.832	0.288	0.087	0.106	0.087	-0.018	-2.054	-1.081	7.162	1.730	6.459	8.189	3.000	1.757	2.378	0.189	-2.622	14.800	0.005	-0.005	-0.029	-2.054	0.223	-0.926	-0.960	-0.006	-0.895	-0.952	-0.026	-0.684	-0.795	0.128	-0.054	-0.020	-0.256	-0.969	-0.299	-0.744	-0.946	-0.650	-0.251	0.462	0.265	-0.823	-0.262	24.43	0.006	9.71	0.051	118.6	0.009	97.9	0.131	79	0.7
18 Purdue	Big Ten	1	28	6	0.824	7	0.493	0.541	0.493	0.743	56.676	22.703	20.189	8.622	26.378	35.000	16.162	5.703	4.865	10.784	15.676	80.400	0.599	0.401	0.246	56.676	1.499	0.046	0.134	0.031	0.177	0.328	0.125	0.046	0.154	0.006	0.097	0.148	0.179	0.595	0.063	0.162	0.028	0.416	0.046	0.276	0.459	0.034	0.120	0.413	0.455	0.413	0.689	59.378	20.405	14.351	10.162	22.378	32.541	11.973	5.135	2.541	12.108	18.595	65.700	0.656	0.344	0.312	59.378	0.989	0.809	0.943	0.105	0.840	0.946	0.077	0.516	0.670	0.256	0.071	0.114	0.140	0.852	0.541	0.718	0.538	0.362	0.248	0.353	0.091	0.635	0.068	0.080	0.086	0.080	0.054	-2.703	2.297	5.838	-1.541	4.000	2.459	4.189	0.568	2.324	-1.324	-2.919	14.700	-0.057	0.057	-0.066	-2.703	0.510	-0.764	-0.809	-0.074	-0.664	-0.618	0.048	-0.470	-0.516	-0.251	0.026	0.034	0.040	-0.256	-0.479	-0.556	-0.510	0.054	-0.202	-0.077	0.368	-0.601	0.051	23.41	0.009	8.74	0.108	117.7	0.014	96.2	0.063	78	2.1
18 Cincinnati	American	0	30	4	0.882	8	0.450	0.502	0.450	0.692	58.333	20.611	21.000	13.306	25.944	39.250	15.833	7.111	5.389	11.222	15.583	74.300	0.647	0.353	0.339	58.333	1.411	0.185	0.131	0.467	0.165	0.148	0.510	0.387	0.407	0.447	0.188	0.131	0.738	0.014	0.128	0.031	0.051	0.091	0.026	0.330	0.319	0.185	0.459	0.374	0.414	0.374	0.684	54.833	20.750	14.694	10.028	21.278	31.306	10.028	4.972	2.944	14.278	18.167	57.500	0.622	0.378	0.320	54.833	0.702	0.085	0.707	0.006	0.123	0.644	0.006	0.291	0.632	0.023	0.060	0.108	0.080	0.775	0.236	0.436	0.068	0.185	0.456	0.083	0.234	0.034	0.006	0.076	0.088	0.076	0.008	3.500	-0.139	6.306	3.278	4.667	7.944	5.806	2.139	2.444	-3.056	-2.583	16.800	0.025	-0.025	0.019	3.500	0.709	0.100	-0.575	0.462	0.043	-0.496	0.504	0.097	-0.225	0.425	0.128	0.023	0.658	-0.761	-0.108	-0.405	-0.017	-0.094	-0.430	0.248	0.085	0.151	0.453	20.25	0.020	3.53	0.259	112.3	0.088	87.0	0.003	77	1.7
18 Michigan State	Big Ten	1	29	4	0.879	9	0.496	0.552	0.496	0.747	57.029	20.714	20.457	11.571	29.543	41.114	19.143	4.086	7.171	13.114	18.286	80.200	0.637	0.363	0.281	57.029	1.460	0.091	0.316	0.023	0.128	0.308	0.080	0.231	0.444	0.048	0.165	0.219	0.160	0.125	0.017	0.020	0.006	0.949	0.003	0.778	0.758	0.088	0.123	0.367	0.384	0.367	0.728	60.229	21.371	18.486	10.543	19.686	30.229	11.971	5.914	2.514	9.971	19.943	64.900	0.645	0.355	0.349	60.229	1.201	0.191	0.877	0.003	0.154	0.895	0.003	0.541	0.644	0.313	0.652	0.613	0.775	0.829	0.014	0.179	0.376	0.630	0.151	0.923	0.068	0.288	0.003	0.129	0.168	0.129	0.019	-3.200	-0.657	1.971	1.029	9.857	10.886	7.171	-1.829	4.657	3.143	-1.657	15.300	-0.008	0.008	-0.067	-3.200	0.259	-0.100	-0.561	0.020	-0.026	-0.587	0.077	-0.311	-0.199	-0.265	-0.487	-0.393	-0.615	-0.704	0.003	-0.160	-0.370	0.319	-0.148	-0.145	0.689	-0.199	0.120	22.41	0.011	7.10	0.165	117.3	0.023	94.9	0.043	78	1.3
18 Tennessee	SEC	1	25	8	0.758	10	0.440	0.473	0.440	0.757	57.486	20.514	20.429	11.543	24.514	36.057	15.714	6.343	4.457	12.057	19.429	73.800	0.643	0.357	0.320	57.486	1.303	0.359	0.262	0.593	0.436	0.251	0.835	0.330	0.464	0.131	0.140	0.228	0.114	0.134	0.345	0.217	0.085	0.302	0.103	0.481	0.900	0.274	0.484	0.409	0.461	0.409	0.710	54.771	19.971	20.571	10.943	23.171	34.114	10.943	5.543	3.200	13.829	19.257	65.700	0.635	0.365	0.321	54.771	0.791	0.231	0.547	0.085	0.356	0.618	0.120	0.177	0.396	0.063	0.821	0.812	0.462	0.889	0.476	0.678	0.148	0.402	0.587	0.188	0.142	0.342	0.006	0.031	0.012	0.031	0.047	2.714	0.543	-0.143	0.600	1.343	1.943	4.771	0.800	1.257	-1.771	0.171	8.100	0.008	-0.008	-0.001	2.714	0.512	0.128	-0.285	0.507	0.080	-0.368	0.715	0.154	0.068	0.068	-0.681	-0.584	-0.348	-0.755	-0.131	-0.462	-0.063	-0.100	-0.484	0.293	0.758	-0.068	0.479	18.20	0.040	10.12	0.037	109.3	0.231	97.3	0.108	77	1.4
