School	Conf	IsP5	W	L	W/L%	Seed	FG%	2P%	3P%	FT%	FGA/G	3PA/G	FTA/G	ORB/G	DRB/G	TRB/G	AST/G	STL/G	BLK/G	TOV/G	PF/G	PTS/G	2PTA%	3PTA%	ORB%	SHOTS/G	AST/TO%	FG Rank	FGA Rank	FG% Rank	2P Rank	2PA Rank	2P% Rank	3P Rank	3PA Rank	3P% Rank	FT Rank	FTA Rank	FT% Rank	ORB Rank	DRB Rank	TRB Rank	AST Rank	STL Rank	BLK Rank	TOV Rank	PF Rank	PTS Rank	PTS/G Rank	OPP FG%	OPP 2P%	OPP 3P%	OPP FT%	OPP FGA/G	OPP 3PA/G	OPP FTA/G	OPP ORB/G	OPP DRB/G	OPP TRB/G	OPP AST/G	OPP STL/G	OPP BLK/G	OPP TOV/G	OPP PF/G	OPP PTS/G	OPP 2PTA%	OPP 3PTA%	OPP ORB%	OPP SHOTS/G	OPP AST/TO%	OPP FG Rank	OPP FGA Rank	OPP FG% Rank	OPP 2P Rank	OPP 2PA Rank	OPP 2P% Rank	OPP 3P Rank	OPP 3PA Rank	OPP 3P% Rank	OPP FT Rank	OPP FTA Rank	OPP FT% Rank	OPP ORB Rank	OPP DRB Rank	OPP TRB Rank	OPP AST Rank	OPP STL Rank	OPP BLK Rank	OPP TOV Rank	OPP PF Rank	OPP PTS Rank	OPP PTS/G Rank	DIFF FG%	DIFF 2P%	DIFF 3P%	DIFF FT%	DIFF FGA/G	DIFF 3PA/G	DIFF FTA/G	DIFF ORB/G	DIFF DRB/G	DIFF TRB/G	DIFF AST/G	DIFF STL/G	DIFF BLK/G	DIFF TOV/G	DIFF PF/G	DIFF PTS/G	DIFF 2PTA%	DIFF 3PTA%	DIFF ORB%	DIFF SHOTS/G	DIFF AST/TO%	DIFF FG Rank	DIFF FGA Rank	DIFF FG% Rank	DIFF 2P Rank	DIFF 2PA Rank	DIFF 2P% Rank	DIFF 3P Rank	DIFF 3PA Rank	DIFF 3P% Rank	DIFF FT Rank	DIFF FTA Rank	DIFF FT% Rank	DIFF ORB Rank	DIFF DRB Rank	DIFF TRB Rank	DIFF AST Rank	DIFF STL Rank	DIFF BLK Rank	DIFF TOV Rank	DIFF PF Rank	DIFF PTS Rank	DIFF PTS/G Rank	SRS	SRS Rank	SOS	SOS Rank	ORtg	ORtg Rank	DRtg	DRtg Rank	Height (in.)	Years Exp
Villanova	Big East	0	31	3	0.912	1	0.495	0.592	0.495	0.790	54.111	23.417	18.917	8.778	24.778	33.556	14.028	7.194	3.028	11.167	14.306	77.200	0.567	0.433	0.262	54.111	1.256	0.108	0.362	0.023	0.259	0.766	0.006	0.100	0.088	0.248	0.208	0.462	0.009	0.661	0.225	0.376	0.205	0.094	0.484	0.316	0.051	0.111	0.236	0.419	0.491	0.419	0.703	56.056	22.417	12.361	9.333	20.472	29.806	13.389	5.139	2.028	13.194	18.222	62.700	0.600	0.400	0.313	56.056	1.015	0.593	0.766	0.217	0.553	0.536	0.530	0.632	0.906	0.054	0.006	0.006	0.496	0.487	0.097	0.202	0.840	0.291	0.028	0.219	0.296	0.279	0.046	0.076	0.101	0.076	0.087	-1.944	1.000	6.556	-0.556	4.306	3.750	0.639	2.056	1.000	-2.028	-3.917	14.500	-0.033	0.033	-0.052	-1.944	0.241	-0.484	-0.405	-0.194	-0.293	0.231	-0.524	-0.533	-0.818	0.194	0.202	0.456	-0.487	0.174	0.128	0.174	-0.635	-0.197	0.456	0.097	-0.245	-0.168	0.191	23.80	0.014	9.28	0.091	117.6	0.011	95.5	0.080	78	1.8
Kansas	Big 12	1	28	4	0.875	2	0.488	0.536	0.488	0.678	60.917	21.861	21.917	11.889	26.806	38.694	16.222	6.944	4.500	12.667	17.750	83.200	0.641	0.359	0.307	60.917	1.281	0.020	0.046	0.034	0.040	0.088	0.105	0.077	0.199	0.017	0.214	0.137	0.758	0.080	0.060	0.046	0.046	0.131	0.100	0.764	0.652	0.023	0.040	0.420	0.453	0.420	0.715	61.111	20.917	18.333	11.139	23.139	34.278	12.806	6.806	3.667	13.417	18.694	71.900	0.658	0.342	0.325	61.111	0.954	0.880	0.952	0.225	0.843	0.957	0.111	0.795	0.766	0.621	0.550	0.476	0.684	0.912	0.587	0.801	0.726	0.934	0.880	0.177	0.214	0.872	0.490	0.068	0.083	0.068	-0.037	-0.194	0.944	3.583	0.750	3.667	4.417	3.417	0.139	0.833	-0.750	-0.944	11.300	-0.017	0.017	-0.018	-0.194	0.326	-0.860	-0.906	-0.191	-0.803	-0.869	-0.006	-0.718	-0.567	-0.604	-0.336	-0.339	0.074	-0.832	-0.527	-0.755	-0.681	-0.803	-0.781	0.587	0.439	-0.849	-0.450	23.53	0.017	12.23	0.009	115.4	0.037	99.7	0.265	77	1.8
North Carolina	ACC	1	27	7	0.794	3	0.466	0.514	0.466	0.701	65.825	19.950	22.900	15.750	27.950	43.700	18.050	7.075	3.475	11.825	17.775	84.400	0.697	0.303	0.360	65.825	1.526	0.003	0.003	0.199	0.003	0.003	0.288	0.222	0.160	0.439	0.014	0.009	0.499	0.003	0.009	0.003	0.006	0.040	0.217	0.843	0.929	0.003	0.034	0.413	0.461	0.413	0.725	59.425	23.475	18.650	9.050	22.400	31.450	11.450	6.225	4.425	13.600	19.450	70.600	0.605	0.395	0.288	59.425	0.842	0.977	0.991	0.134	0.872	0.952	0.174	0.980	0.991	0.368	0.872	0.832	0.832	0.715	0.897	0.855	0.709	0.952	1.000	0.037	0.014	0.989	0.368	0.053	0.053	0.053	-0.024	6.400	-3.525	4.250	6.700	5.550	12.250	6.600	0.850	-0.950	-1.775	-1.675	13.800	0.092	-0.092	0.073	6.400	0.685	-0.974	-0.989	0.066	-0.869	-0.949	0.114	-0.758	-0.832	0.071	-0.858	-0.823	-0.333	-0.712	-0.889	-0.852	-0.704	-0.912	-0.783	0.806	0.915	-0.986	-0.333	24.84	0.006	11.76	0.020	116.0	0.028	97.0	0.140	78	1.9
Gonzaga	WCC	0	32	1	0.970	4	0.504	0.564	0.504	0.717	58.462	19.205	22.821	9.692	31.000	40.692	15.256	6.795	4.692	11.487	16.923	82.600	0.671	0.329	0.238	58.462	1.328	0.009	0.026	0.011	0.009	0.014	0.028	0.205	0.293	0.131	0.020	0.017	0.353	0.293	0.003	0.006	0.031	0.074	0.034	0.687	0.764	0.011	0.046	0.365	0.400	0.365	0.658	61.538	19.769	16.564	10.795	22.846	33.641	9.692	5.359	3.077	12.179	19.744	61.500	0.679	0.321	0.321	61.538	0.796	0.707	1.000	0.003	0.826	0.994	0.006	0.299	0.826	0.006	0.268	0.447	0.023	0.966	0.877	0.946	0.148	0.652	0.729	0.219	0.020	0.570	0.028	0.139	0.164	0.139	0.059	-3.077	-0.564	6.256	-1.103	8.154	7.051	5.564	1.436	1.615	-0.692	-2.821	21.100	-0.007	0.007	-0.083	-3.077	0.532	-0.698	-0.974	0.009	-0.818	-0.980	0.023	-0.094	-0.533	0.125	-0.248	-0.430	0.330	-0.672	-0.875	-0.940	-0.117	-0.578	-0.695	0.467	0.744	-0.558	0.017	25.26	0.003	4.13	0.245	116.4	0.026	86.7	0.003	78	2.0
Kentucky	SEC	1	29	5	0.853	5	0.473	0.529	0.473	0.704	63.053	19.921	25.789	12.368	27.421	39.789	15.395	6.026	5.263	11.658	18.842	84.900	0.684	0.316	0.311	63.053	1.321	0.011	0.009	0.108	0.006	0.006	0.140	0.302	0.276	0.462	0.006	0.003	0.467	0.017	0.026	0.011	0.043	0.248	0.014	0.658	0.934	0.009	0.028	0.424	0.483	0.424	0.676	60.763	20.211	20.368	10.211	24.842	35.053	11.342	4.789	3.342	14.316	22.816	71.500	0.667	0.333	0.291	60.763	0.792	0.972	0.977	0.279	0.980	0.986	0.402	0.425	0.815	0.034	0.815	0.897	0.094	0.855	0.972	0.966	0.481	0.251	0.812	0.037	0.003	0.960	0.444	0.049	0.046	0.049	0.028	2.289	-0.289	5.421	2.158	2.579	4.737	4.053	1.237	1.921	-2.658	-3.974	13.400	0.017	-0.017	0.020	2.289	0.528	-0.960	-0.969	-0.171	-0.974	-0.980	-0.262	-0.123	-0.538	0.427	-0.809	-0.895	0.373	-0.838	-0.946	-0.954	-0.439	-0.003	-0.798	0.621	0.932	-0.952	-0.416	23.88	0.011	10.49	0.051	113.8	0.054	95.8	0.094	77	0.8
Arizona	Pac-12	1	30	4	0.882	6	0.477	0.515	0.477	0.765	55.351	16.892	22.432	10.270	26.432	36.703	13.541	5.432	3.216	11.162	16.892	76.600	0.695	0.305	0.280	55.351	1.213	0.091	0.162	0.097	0.051	0.071	0.276	0.473	0.698	0.071	0.028	0.077	0.054	0.279	0.043	0.068	0.217	0.473	0.365	0.419	0.573	0.068	0.288	0.421	0.485	0.421	0.684	57.324	20.865	16.405	9.162	20.757	29.919	12.892	4.730	2.946	11.676	19.703	65.900	0.636	0.364	0.306	57.324	1.104	0.792	0.883	0.239	0.835	0.869	0.425	0.473	0.832	0.046	0.222	0.279	0.185	0.507	0.219	0.305	0.812	0.188	0.536	0.473	0.060	0.667	0.114	0.056	0.030	0.056	0.081	-1.973	-3.973	6.027	1.108	5.676	6.784	0.649	0.703	0.270	-0.514	-2.811	10.700	0.059	-0.059	-0.026	-1.973	0.109	-0.701	-0.721	-0.142	-0.783	-0.798	-0.148	0.000	-0.134	0.026	-0.194	-0.202	-0.131	-0.228	-0.177	-0.236	-0.595	0.285	-0.171	-0.054	0.513	-0.598	0.174	18.25	0.066	7.63	0.168	113.8	0.051	98.0	0.182	78	0.7
Duke	ACC	1	27	8	0.771	7	0.475	0.536	0.475	0.762	57.946	22.216	22.757	10.541	25.703	36.243	13.081	6.108	4.649	11.378	18.243	80.800	0.617	0.383	0.291	57.946	1.150	0.046	0.074	0.103	0.088	0.208	0.105	0.100	0.123	0.171	0.014	0.066	0.063	0.219	0.085	0.085	0.271	0.282	0.066	0.487	0.840	0.026	0.077	0.432	0.489	0.432	0.710	59.946	17.270	18.730	10.784	22.865	33.649	12.081	4.757	2.378	12.081	19.919	70.200	0.712	0.288	0.320	59.946	1.000	0.940	0.957	0.422	0.991	0.991	0.484	0.046	0.276	0.011	0.641	0.638	0.630	0.903	0.661	0.823	0.604	0.199	0.134	0.393	0.048	0.883	0.342	0.043	0.047	0.043	0.052	-2.000	4.946	4.027	-0.243	2.838	2.595	1.000	1.351	2.270	-0.703	-1.676	10.600	-0.095	0.095	-0.030	-2.000	0.150	-0.895	-0.883	-0.319	-0.903	-0.783	-0.379	0.054	-0.154	0.160	-0.627	-0.573	-0.567	-0.684	-0.575	-0.738	-0.333	0.083	-0.068	0.094	0.792	-0.858	-0.265	21.56	0.026	10.91	0.040	115.7	0.031	100.5	0.348	78	1.6
Louisville	ACC	1	24	8	0.750	8	0.457	0.505	0.457	0.686	61.324	19.706	20.824	13.441	26.059	39.500	13.559	6.676	5.471	11.000	19.176	77.300	0.679	0.321	0.340	61.324	1.233	0.134	0.111	0.293	0.074	0.083	0.402	0.501	0.558	0.425	0.425	0.382	0.650	0.028	0.265	0.083	0.382	0.271	0.028	0.123	0.715	0.214	0.228	0.401	0.448	0.401	0.695	55.706	19.824	21.588	10.235	23.265	33.500	10.794	4.971	3.441	13.529	18.294	66.000	0.644	0.356	0.306	55.706	0.798	0.177	0.558	0.054	0.251	0.581	0.068	0.199	0.430	0.085	0.741	0.778	0.350	0.598	0.325	0.444	0.094	0.123	0.675	0.316	0.501	0.242	0.011	0.056	0.057	0.056	-0.009	5.618	-0.118	-0.765	3.206	2.794	6.000	2.765	1.706	2.029	-2.529	0.882	11.300	0.035	-0.035	0.035	5.618	0.435	-0.043	-0.447	0.239	-0.177	-0.499	0.333	0.302	0.128	0.339	-0.316	-0.396	0.299	-0.570	-0.060	-0.362	0.288	0.148	-0.647	-0.194	0.214	-0.028	0.217	22.47	0.020	11.15	0.026	112.0	0.114	95.6	0.083	78	1.6
Oregon	Pac-12	1	29	5	0.853	9	0.481	0.545	0.481	0.712	58.205	22.564	20.179	10.564	26.128	36.692	15.744	6.487	6.359	11.641	15.744	78.900	0.612	0.388	0.288	58.205	1.352	0.014	0.028	0.066	0.037	0.094	0.068	0.046	0.051	0.148	0.154	0.142	0.390	0.131	0.034	0.026	0.014	0.108	0.003	0.746	0.499	0.014	0.140	0.403	0.458	0.403	0.719	59.256	22.385	15.256	10.462	22.205	32.667	11.692	4.769	3.410	13.231	19.026	65.800	0.622	0.378	0.320	59.256	0.884	0.892	0.980	0.063	0.852	0.952	0.154	0.832	0.966	0.063	0.291	0.234	0.758	0.932	0.775	0.880	0.692	0.311	0.892	0.080	0.037	0.849	0.108	0.078	0.087	0.078	-0.007	-1.051	0.179	4.923	0.103	3.923	4.026	4.051	1.718	2.949	-1.590	-3.282	13.100	-0.010	0.010	-0.032	-1.051	0.469	-0.877	-0.952	0.003	-0.815	-0.858	-0.085	-0.786	-0.915	0.085	-0.137	-0.091	-0.368	-0.801	-0.741	-0.855	-0.678	-0.202	-0.889	0.667	0.462	-0.835	0.031	20.80	0.031	8.38	0.134	114.2	0.043	95.2	0.071	77	1.7
Florida State	ACC	1	25	8	0.758	10	0.483	0.544	0.483	0.689	61.314	19.171	23.543	11.686	26.143	37.829	14.600	7.400	5.143	11.857	19.543	82.100	0.687	0.313	0.309	61.314	1.231	0.034	0.071	0.051	0.014	0.034	0.074	0.538	0.550	0.547	0.140	0.085	0.624	0.142	0.151	0.120	0.179	0.094	0.040	0.442	0.869	0.046	0.051	0.416	0.454	0.416	0.715	58.857	21.229	21.971	10.914	23.057	33.971	12.114	5.029	2.971	14.114	19.657	72.100	0.639	0.361	0.321	58.857	0.858	0.621	0.835	0.174	0.567	0.818	0.123	0.718	0.735	0.510	0.900	0.889	0.684	0.826	0.419	0.667	0.422	0.199	0.405	0.128	0.151	0.801	0.504	0.067	0.090	0.067	-0.026	2.457	-2.057	1.571	0.771	3.086	3.857	2.486	2.371	2.171	-2.257	-0.114	10.000	0.048	-0.048	-0.012	2.457	0.373	-0.587	-0.764	-0.123	-0.553	-0.783	-0.048	-0.179	-0.185	0.037	-0.761	-0.803	-0.060	-0.684	-0.268	-0.547	-0.242	-0.105	-0.365	0.313	0.718	-0.755	-0.453	18.87	0.054	8.87	0.105	113.1	0.068	99.3	0.245	79	1.1
UCLA	Pac-12	1	29	4	0.879	11	0.522	0.591	0.522	0.738	64.444	24.222	17.278	9.528	28.972	38.500	21.417	5.889	5.306	11.222	16.194	89.800	0.624	0.376	0.247	64.444	1.908	0.006	0.017	0.003	0.011	0.051	0.009	0.023	0.057	0.011	0.581	0.692	0.185	0.501	0.023	0.051	0.003	0.410	0.020	0.333	0.316	0.006	0.006	0.422	0.453	0.422	0.679	65.861	23.583	16.722	11.472	23.444	34.917	13.000	6.278	1.778	11.750	17.083	75.500	0.642	0.358	0.329	65.861	1.106	0.989	0.989	0.256	0.940	0.983	0.111	0.974	0.949	0.778	0.185	0.256	0.123	0.946	0.652	0.849	0.764	0.826	0.009	0.527	0.521	0.966	0.738	0.100	0.138	0.100	0.059	-1.417	0.639	0.556	-1.944	5.528	3.583	8.417	-0.389	3.528	-0.528	-0.889	14.300	-0.018	0.018	-0.081	-1.417	0.802	-0.983	-0.972	-0.254	-0.929	-0.932	-0.103	-0.952	-0.892	-0.766	0.396	0.436	0.063	-0.444	-0.630	-0.798	-0.761	-0.416	0.011	-0.194	-0.205	-0.960	-0.732	20.67	0.034	6.39	0.199	121.0	0.003	101.8	0.447	78	1.3
Baylor	Big 12	1	25	7	0.781	12	0.471	0.525	0.471	0.723	55.886	18.314	18.886	12.886	25.086	37.971	15.543	5.143	4.743	13.400	17.629	72.900	0.672	0.328	0.339	55.886	1.160	0.211	0.339	0.125	0.125	0.222	0.162	0.561	0.658	0.382	0.467	0.541	0.305	0.040	0.291	0.108	0.108	0.692	0.094	0.823	0.513	0.305	0.527	0.405	0.449	0.405	0.713	56.000	19.629	16.743	10.029	19.200	29.229	13.200	5.400	3.600	11.343	18.429	63.700	0.649	0.351	0.343	56.000	1.164	0.353	0.684	0.074	0.407	0.707	0.080	0.285	0.493	0.142	0.245	0.202	0.672	0.627	0.023	0.083	0.735	0.356	0.801	0.709	0.356	0.214	0.060	0.066	0.076	0.066	0.010	-0.114	-1.314	2.143	2.857	5.886	8.743	2.343	-0.257	1.143	2.057	-0.800	9.200	0.023	-0.023	-0.004	-0.114	-0.004	-0.142	-0.345	0.051	-0.282	-0.484	0.083	0.276	0.165	0.239	0.222	0.339	-0.368	-0.587	0.268	0.026	-0.627	0.336	-0.707	0.114	0.157	0.091	0.467	19.75	0.046	11.87	0.017	111.5	0.123	97.5	0.145	78	1.6
Butler	Big East	0	23	8	0.742	13	0.477	0.545	0.477	0.741	55.824	21.000	20.706	8.441	23.647	32.088	13.324	6.059	2.824	10.176	18.824	76.300	0.624	0.376	0.263	55.824	1.309	0.279	0.481	0.094	0.288	0.561	0.066	0.353	0.430	0.305	0.251	0.393	0.157	0.823	0.578	0.744	0.422	0.450	0.598	0.037	0.664	0.245	0.299	0.445	0.513	0.445	0.697	54.029	20.382	20.000	8.618	22.706	31.324	10.765	5.029	2.559	13.265	19.206	68.900	0.623	0.377	0.275	54.029	0.812	0.504	0.393	0.615	0.496	0.339	0.755	0.385	0.510	0.262	0.553	0.578	0.396	0.179	0.236	0.191	0.088	0.131	0.123	0.373	0.316	0.484	0.248	0.032	0.032	0.032	0.044	1.794	0.618	0.706	-0.176	0.941	0.765	2.559	1.029	0.265	-3.088	-0.382	7.400	0.001	-0.001	-0.012	1.794	0.498	-0.225	0.088	-0.521	-0.208	0.222	-0.689	-0.031	-0.080	0.043	-0.302	-0.185	-0.239	0.644	0.342	0.553	0.333	0.319	0.476	-0.336	0.348	-0.239	0.051	17.70	0.071	10.23	0.060	112.6	0.080	101.6	0.430	76	1.9
Florida	SEC	1	24	8	0.750	14	0.450	0.503	0.450	0.729	58.833	21.556	23.639	11.556	25.417	36.972	12.500	7.556	4.639	11.972	18.361	77.900	0.634	0.366	0.313	58.833	1.044	0.131	0.097	0.387	0.174	0.179	0.416	0.245	0.225	0.387	0.043	0.046	0.271	0.123	0.151	0.097	0.439	0.057	0.091	0.575	0.769	0.094	0.197	0.410	0.458	0.410	0.706	57.500	18.028	19.583	10.417	24.750	35.167	9.639	5.556	2.806	14.806	20.722	66.500	0.686	0.314	0.296	57.500	0.651	0.598	0.840	0.103	0.821	0.932	0.148	0.103	0.311	0.028	0.675	0.689	0.553	0.803	0.877	0.863	0.040	0.519	0.350	0.051	0.031	0.567	0.134	0.040	0.045	0.040	0.023	1.333	3.528	4.056	1.139	0.667	1.806	2.861	2.000	1.833	-2.833	-2.361	11.400	-0.053	0.053	0.016	1.333	0.393	-0.467	-0.744	0.285	-0.647	-0.752	0.268	0.142	-0.085	0.359	-0.632	-0.644	-0.282	-0.681	-0.726	-0.766	0.399	-0.462	-0.259	0.524	0.738	-0.473	0.063	22.40	0.023	11.01	0.031	110.0	0.168	93.9	0.037	77	1.8
West Virginia	Big 12	1	26	8	0.765	15	0.454	0.498	0.454	0.685	63.054	20.514	24.514	14.432	23.054	37.486	16.405	10.027	4.757	12.297	20.432	81.500	0.675	0.325	0.385	63.054	1.334	0.028	0.014	0.350	0.023	0.009	0.467	0.262	0.268	0.330	0.040	0.011	0.672	0.009	0.373	0.048	0.017	0.003	0.048	0.755	0.980	0.017	0.066	0.424	0.465	0.424	0.683	52.649	19.135	22.351	10.622	23.811	34.432	11.946	5.649	3.838	20.000	21.405	66.700	0.637	0.363	0.308	52.649	0.597	0.524	0.661	0.279	0.430	0.627	0.188	0.615	0.584	0.575	0.934	0.946	0.179	0.880	0.838	0.880	0.570	0.652	0.943	0.003	0.011	0.701	0.137	0.030	0.033	0.030	0.002	10.405	1.378	2.162	3.811	-0.757	3.054	4.459	4.378	0.919	-7.703	-0.973	14.800	0.038	-0.038	0.077	10.405	0.737	-0.496	-0.647	0.071	-0.407	-0.618	0.279	-0.353	-0.316	-0.245	-0.895	-0.934	0.493	-0.872	-0.464	-0.832	-0.553	-0.650	-0.895	0.752	0.969	-0.684	-0.071	24.45	0.009	9.67	0.080	112.2	0.105	91.8	0.014	78	1.8
Purdue	Big Ten	1	25	7	0.781	16	0.479	0.527	0.479	0.757	58.400	22.343	19.429	9.829	27.943	37.771	18.286	5.171	2.486	13.000	15.771	79.700	0.617	0.383	0.260	58.400	1.407	0.080	0.174	0.080	0.205	0.328	0.157	0.088	0.208	0.026	0.268	0.470	0.077	0.493	0.043	0.128	0.011	0.672	0.724	0.755	0.168	0.103	0.114	0.421	0.466	0.421	0.707	61.286	20.800	14.029	8.943	22.143	31.086	12.886	6.514	3.114	11.743	19.029	68.400	0.661	0.339	0.288	61.286	1.097	0.823	0.915	0.234	0.855	0.929	0.205	0.501	0.678	0.242	0.034	0.031	0.570	0.330	0.251	0.242	0.655	0.840	0.536	0.613	0.245	0.561	0.225	0.058	0.061	0.058	0.050	-2.886	1.543	5.400	0.886	5.800	6.686	5.400	-1.343	-0.629	1.257	-3.257	11.300	-0.043	0.043	-0.027	-2.886	0.309	-0.744	-0.741	-0.154	-0.650	-0.601	-0.048	-0.413	-0.470	-0.217	0.234	0.439	-0.493	0.162	-0.208	-0.114	-0.644	-0.168	0.188	0.142	-0.077	-0.459	-0.111	20.13	0.043	8.79	0.111	112.6	0.077	96.6	0.123	77	1.6
