Score Diff      Team 1  Team 2  W       L       FG%     3P%     FT%     FTA/G   PF/G    2P Rank 2P% Rank        DRB Rank        STL Rank        PF Rank OPP DRB/G       OPP AST/G       OPP PTS/G       OPP 2PTA%       OPP 2P Rank     OPP 3P Rank     OPP 3PA Rank    OPP FT Rank     OPP FT% Rank    OPP ORB Rank    OPP DRB Rank    OPP BLK Rank    OPP PTS Rank    OPP PTS/G Rank  DIFF TOV Rank   DIFF PTS/G Rank SRS     ORtg    Years Exp
-10	18 LIU Brooklyn	18 Radford	0.404	0.605	0.561	0.561	0.430	0.636	0.672	0.464	0.301	0.290	0.491	0.662	0.724	0.587	0.712	0.717	0.787	0.299	0.302	0.723	0.298	0.738	0.668	0.577	0.672	0.804	0.582	0.148	0.419	0.435	0.763
10	18 Radford	18 LIU Brooklyn	0.596	0.395	0.439	0.439	0.570	0.364	0.328	0.536	0.699	0.710	0.509	0.338	0.276	0.413	0.288	0.283	0.213	0.701	0.698	0.277	0.702	0.262	0.332	0.423	0.328	0.196	0.418	0.852	0.581	0.565	0.237
7	18 St. Bonaventure	18 UCLA	0.595	0.395	0.454	0.454	0.603	0.576	0.630	0.461	0.699	0.614	0.238	0.682	0.420	0.496	0.364	0.376	0.313	0.418	0.500	0.715	0.662	0.523	0.451	0.906	0.413	0.304	0.723	0.664	0.457	0.464	0.631
-7	18 UCLA	18 St. Bonaventure	0.405	0.605	0.546	0.546	0.397	0.424	0.370	0.539	0.301	0.386	0.762	0.318	0.580	0.504	0.636	0.624	0.687	0.582	0.500	0.285	0.338	0.477	0.549	0.094	0.587	0.696	0.277	0.336	0.543	0.536	0.369
18	18 Texas Southern	18 North Carolina Central	0.404	0.605	0.439	0.439	0.359	0.809	0.471	0.387	0.583	0.264	0.247	0.530	0.841	0.668	0.777	0.509	0.714	0.784	0.699	0.678	0.486	0.887	0.908	0.539	0.886	0.878	0.640	0.127	0.574	0.507	0.553
-18	18 North Carolina Central	18 Texas Southern	0.596	0.395	0.561	0.561	0.641	0.191	0.529	0.613	0.417	0.736	0.753	0.470	0.159	0.332	0.223	0.491	0.286	0.216	0.301	0.322	0.514	0.113	0.092	0.461	0.114	0.122	0.360	0.873	0.426	0.493	0.447
4	18 Syracuse	18 Arizona State	0.500	0.553	0.266	0.266	0.509	0.367	0.338	0.417	0.908	0.267	0.306	0.519	0.313	0.579	0.212	0.350	0.336	0.619	0.632	0.552	0.595	0.599	0.558	0.552	0.467	0.162	0.731	0.981	0.480	0.249	0.316
-4	18 Arizona State	18 Syracuse	0.500	0.447	0.734	0.734	0.491	0.633	0.662	0.583	0.092	0.733	0.694	0.481	0.687	0.421	0.788	0.650	0.664	0.381	0.368	0.448	0.405	0.401	0.442	0.448	0.533	0.838	0.269	0.019	0.520	0.751	0.684
-20	18 Virginia	18 UMBC	0.666	0.289	0.587	0.587	0.846	0.297	0.340	0.383	0.415	0.673	0.595	0.233	0.247	0.209	0.120	0.497	0.211	0.147	0.238	0.337	0.902	0.256	0.135	0.429	0.163	0.395	0.171	0.673	0.827	0.608	0.474
20	18 UMBC	18 Virginia	0.334	0.711	0.413	0.413	0.154	0.703	0.660	0.617	0.585	0.327	0.405	0.767	0.753	0.791	0.880	0.503	0.789	0.853	0.762	0.663	0.098	0.744	0.865	0.571	0.837	0.605	0.829	0.327	0.173	0.392	0.526
-10	18 Creighton	18 Kansas State	0.476	0.500	0.648	0.648	0.545	0.393	0.273	0.533	0.401	0.305	0.834	0.058	0.658	0.622	0.686	0.578	0.669	0.500	0.487	0.083	0.408	0.191	0.462	0.565	0.474	0.755	0.160	0.127	0.547	0.666	0.658
10	18 Kansas State	18 Creighton	0.524	0.500	0.352	0.352	0.455	0.607	0.727	0.467	0.599	0.695	0.166	0.942	0.342	0.378	0.314	0.422	0.331	0.500	0.513	0.917	0.592	0.809	0.538	0.435	0.526	0.245	0.840	0.873	0.453	0.334	0.342
5	18 Kentucky	18 Davidson	0.572	0.474	0.459	0.459	0.180	1.000	0.757	0.052	0.717	0.319	0.266	0.963	0.364	0.510	0.560	0.470	0.744	0.582	0.652	0.858	0.539	0.973	0.552	0.897	0.829	0.585	0.936	0.440	0.584	0.364	0.105
-5	18 Davidson	18 Kentucky	0.428	0.526	0.541	0.541	0.820	0.000	0.243	0.948	0.283	0.681	0.734	0.037	0.636	0.490	0.440	0.530	0.256	0.418	0.348	0.142	0.461	0.027	0.448	0.103	0.171	0.415	0.064	0.560	0.416	0.636	0.895
-21	18 Arizona	18 Buffalo	0.524	0.474	0.658	0.658	0.696	0.584	0.242	0.488	0.455	0.534	0.757	0.290	0.139	0.589	0.382	0.429	0.392	0.627	0.503	0.308	0.494	0.227	0.047	0.158	0.397	0.324	0.286	0.641	0.604	0.550	0.553
21	18 Buffalo	18 Arizona	0.476	0.526	0.342	0.342	0.304	0.416	0.758	0.512	0.545	0.466	0.243	0.710	0.861	0.411	0.618	0.571	0.608	0.373	0.497	0.692	0.506	0.773	0.953	0.842	0.603	0.676	0.714	0.359	0.396	0.450	0.447
